x [mm], y [mm], u [m/s], v [m/s]
1.850000000000000000e+02, -5.500000000000000000e+01, 1.042448902130126953e+01, -4.442780017852783203e-01
1.950000000000000000e+02, -5.500000000000000000e+01, 1.057525444030761719e+01, -4.765445291996002197e-01
-1.950000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.850000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.750000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.650000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -4.500000000000000000e+01, 8.660321235656738281e+00, -4.057553708553314209e-01
-1.050000000000000000e+02, -4.500000000000000000e+01, 8.697260856628417969e+00, -3.970108628273010254e-01
-9.500000000000000000e+01, -4.500000000000000000e+01, 7.525899410247802734e+00, 1.144123375415802002e-01
-8.500000000000000000e+01, -4.500000000000000000e+01, 7.614561080932617188e+00, 1.214486360549926758e-02
-7.500000000000000000e+01, -4.500000000000000000e+01, 8.329390525817871094e+00, -4.247602224349975586e-01
-6.500000000000000000e+01, -4.500000000000000000e+01, 8.967107772827148438e+00, -7.241620421409606934e-01
-5.500000000000000000e+01, -4.500000000000000000e+01, 9.452531814575195312e+00, -8.607301712036132812e-01
-4.500000000000000000e+01, -4.500000000000000000e+01, 9.826368331909179688e+00, -9.122362732887268066e-01
-3.500000000000000000e+01, -4.500000000000000000e+01, 1.011603069305419922e+01, -8.764657974243164062e-01
-2.500000000000000000e+01, -4.500000000000000000e+01, 1.044271469116210938e+01, -7.578220367431640625e-01
-1.500000000000000000e+01, -4.500000000000000000e+01, 1.088945293426513672e+01, -5.901142954826354980e-01
-5.000000000000000000e+00, -4.500000000000000000e+01, 1.127326107025146484e+01, -3.469778299331665039e-01
5.000000000000000000e+00, -4.500000000000000000e+01, 1.136616802215576172e+01, 8.188757300376892090e-02
1.500000000000000000e+01, -4.500000000000000000e+01, 1.114667606353759766e+01, 5.841834545135498047e-01
2.500000000000000000e+01, -4.500000000000000000e+01, 1.077499580383300781e+01, 8.574576973915100098e-01
3.500000000000000000e+01, -4.500000000000000000e+01, 1.044492244720458984e+01, 9.023276567459106445e-01
4.500000000000000000e+01, -4.500000000000000000e+01, 1.018756961822509766e+01, 8.117974996566772461e-01
5.500000000000000000e+01, -4.500000000000000000e+01, 1.003576660156250000e+01, 6.841049790382385254e-01
6.500000000000000000e+01, -4.500000000000000000e+01, 1.003386783599853516e+01, 5.999667644500732422e-01
7.500000000000000000e+01, -4.500000000000000000e+01, 1.005351448059082031e+01, 5.256487727165222168e-01
8.500000000000000000e+01, -4.500000000000000000e+01, 1.006369113922119141e+01, 4.268923103809356689e-01
9.500000000000000000e+01, -4.500000000000000000e+01, 1.007066726684570312e+01, 3.154222071170806885e-01
1.050000000000000000e+02, -4.500000000000000000e+01, 1.004350376129150391e+01, 2.008707374334335327e-01
1.150000000000000000e+02, -4.500000000000000000e+01, 9.925124168395996094e+00, 6.921070814132690430e-02
1.250000000000000000e+02, -4.500000000000000000e+01, 9.755489349365234375e+00, -5.349066853523254395e-02
1.350000000000000000e+02, -4.500000000000000000e+01, 9.562783241271972656e+00, -1.371332705020904541e-01
1.450000000000000000e+02, -4.500000000000000000e+01, 9.575398445129394531e+00, -1.900699138641357422e-01
1.550000000000000000e+02, -4.500000000000000000e+01, 9.669288635253906250e+00, -2.212884873151779175e-01
1.650000000000000000e+02, -4.500000000000000000e+01, 9.722191810607910156e+00, -2.395492196083068848e-01
1.750000000000000000e+02, -4.500000000000000000e+01, 9.751462936401367188e+00, -2.982340157032012939e-01
1.850000000000000000e+02, -4.500000000000000000e+01, 1.016296958923339844e+01, -3.766858577728271484e-01
1.950000000000000000e+02, -4.500000000000000000e+01, 1.031936740875244141e+01, -4.064281582832336426e-01
-1.950000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.850000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.750000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.650000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -3.500000000000000000e+01, 8.653969764709472656e+00, -3.881005346775054932e-01
-9.500000000000000000e+01, -3.500000000000000000e+01, 4.959429740905761719e+00, 7.712180614471435547e-01
-8.500000000000000000e+01, -3.500000000000000000e+01, 4.515240192413330078e+00, 6.648304462432861328e-01
-7.500000000000000000e+01, -3.500000000000000000e+01, 5.978159427642822266e+00, -2.975562214851379395e-02
-6.500000000000000000e+01, -3.500000000000000000e+01, 7.384052276611328125e+00, -6.305316686630249023e-01
-5.500000000000000000e+01, -3.500000000000000000e+01, 8.551311492919921875e+00, -1.007196187973022461e+00
-4.500000000000000000e+01, -3.500000000000000000e+01, 9.236872673034667969e+00, -1.141077280044555664e+00
-3.500000000000000000e+01, -3.500000000000000000e+01, 9.652768135070800781e+00, -1.091270685195922852e+00
-2.500000000000000000e+01, -3.500000000000000000e+01, 1.008890056610107422e+01, -9.009505510330200195e-01
-1.500000000000000000e+01, -3.500000000000000000e+01, 1.067450428009033203e+01, -6.410930752754211426e-01
-5.000000000000000000e+00, -3.500000000000000000e+01, 1.115115165710449219e+01, -2.701910138130187988e-01
5.000000000000000000e+00, -3.500000000000000000e+01, 1.117296218872070312e+01, 3.507373631000518799e-01
